Areaname,Area,Areatype,Stfips,Maparea,Stateabbrv,Periodyear,Periodtype,Period,Timeperiod,Adjusted,Laborforce,Emplab,Unemp,Unemprate,Clfprate,Emppopratio,Fullperiod,Sortperiod,Rank,Preliminary,prelim
"Altoona, PA MSA",11020,31,42,4231011020,PA,2020,3,2,"February, 2020",1,59700,57000,2800,4.7,,,20200302,3202002,204,No,0
"Bloomsburg-Berwick, PA MSA",14100,31,42,4231014100,PA,2020,3,2,"February, 2020",1,42900,40900,2000,4.6,,,20200302,3202002,205,No,0
"Chambersburg-Waynesboro, PA MSA",16540,31,42,4231016540,PA,2020,3,2,"February, 2020",1,77900,74500,3300,4.3,,,20200302,3202002,206,No,0
"East Stroudsburg, PA MSA",20700,31,42,4231020700,PA,2020,3,2,"February, 2020",1,83600,78800,4800,5.7,,,20200302,3202002,207,No,0
"Erie, PA MSA",21500,31,42,4231021500,PA,2020,3,2,"February, 2020",1,130100,123100,7000,5.4,,,20200302,3202002,208,No,0
"Gettysburg, PA MSA",23900,31,42,4231023900,PA,2020,3,2,"February, 2020",1,55700,53800,1900,3.5,,,20200302,3202002,209,No,0
"Harrisburg-Carlisle, PA MSA",25420,31,42,4231025420,PA,2020,3,2,"February, 2020",1,305200,293500,11700,3.8,,,20200302,3202002,210,No,0
"Johnstown, PA MSA",27780,31,42,4231027780,PA,2020,3,2,"February, 2020",1,57300,54000,3300,5.7,,,20200302,3202002,211,No,0
"Lancaster, PA MSA",29540,31,42,4231029540,PA,2020,3,2,"February, 2020",1,289900,279200,10700,3.7,,,20200302,3202002,212,No,0
"Lebanon, PA MSA",30140,31,42,4231030140,PA,2020,3,2,"February, 2020",1,72400,69300,3200,4.4,,,20200302,3202002,213,No,0
"Montgomery-Bucks-Chester, PA Metro Division",33874,31,42,4231033874,PA,2020,3,2,"February, 2020",1,1101500,1061600,39900,3.6,,,20200302,3202002,214,No,0
"Philadelphia, PA Metro Division",37964,31,42,4231037964,PA,2020,3,2,"February, 2020",1,1037200,982800,54400,5.2,,,20200302,3202002,215,No,0
"Philadelphia, PA MSA - PA Part",37965,31,42,4231037965,PA,2020,3,2,"February, 2020",1,2138600,2045200,93400,4.4,,,20200302,3202002,216,No,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",37980,31,42,4231037980,PA,2020,3,2,"February, 2020",1,3148500,3015400,133000,4.2,,,20200302,3202002,217,No,0
"Pittsburgh, PA MSA",38300,31,42,4231038300,PA,2020,3,2,"February, 2020",1,1218400,1162100,56400,4.6,,,20200302,3202002,218,No,0
"Reading, PA MSA",39740,31,42,4231039740,PA,2020,3,2,"February, 2020",1,216500,206700,9800,4.5,,,20200302,3202002,219,No,0
"Scranton--Wilkes-Barre--Hazleton, PA MSA",42540,31,42,4231042540,PA,2020,3,2,"February, 2020",1,278400,263000,15400,5.5,,,20200302,3202002,220,No,0
"State College, PA MSA",44300,31,42,4231044300,PA,2020,3,2,"February, 2020",1,80700,77900,2800,3.5,,,20200302,3202002,221,No,0
"Williamsport, PA MSA",48700,31,42,4231048700,PA,2020,3,2,"February, 2020",1,56700,53700,3000,5.3,,,20200302,3202002,222,No,0
"York-Hanover, PA MSA",49620,31,42,4231049620,PA,2020,3,2,"February, 2020",1,238300,228300,10000,4.2,,,20200302,3202002,223,No,0
United States,0,0,0,0,US,2020,3,3,"March, 2020",1,162721000,155536000,7185000,4.4,62.6,59.9,20200303,3202003,224,No,0
Pennsylvania,0,1,42,4201000000,PA,2020,3,3,"March, 2020",1,6526000,6194000,332000,5.1,63.5,60.3,20200303,3202003,225,No,0
Adams County,1,4,42,4204000001,PA,2020,3,3,"March, 2020",1,55600,53700,2000,3.5,,,20200303,3202003,226,No,0
Allegheny County,3,4,42,4204000003,PA,2020,3,3,"March, 2020",1,647900,614600,33300,5.1,,,20200303,3202003,227,No,0
Armstrong County,5,4,42,4204000005,PA,2020,3,3,"March, 2020",1,32400,30100,2200,6.9,,,20200303,3202003,228,No,0
Beaver County,7,4,42,4204000007,PA,2020,3,3,"March, 2020",1,84200,79100,5100,6,,,20200303,3202003,229,No,0
Bedford County,9,4,42,4204000009,PA,2020,3,3,"March, 2020",1,23700,22300,1400,5.9,,,20200303,3202003,230,No,0
Berks County,11,4,42,4204000011,PA,2020,3,3,"March, 2020",1,215400,203900,11600,5.4,,,20200303,3202003,231,No,0
Blair County,13,4,42,4204000013,PA,2020,3,3,"March, 2020",1,60100,56900,3200,5.4,,,20200303,3202003,232,No,0
Bradford County,15,4,42,4204000015,PA,2020,3,3,"March, 2020",1,28400,26800,1500,5.4,,,20200303,3202003,233,No,0
Bucks County,17,4,42,4204000017,PA,2020,3,3,"March, 2020",1,345500,329500,16000,4.6,,,20200303,3202003,234,No,0
Butler County,19,4,42,4204000019,PA,2020,3,3,"March, 2020",1,99900,94900,5000,5,,,20200303,3202003,235,No,0
Cambria County,21,4,42,4204000021,PA,2020,3,3,"March, 2020",1,57700,53800,3900,6.8,,,20200303,3202003,236,No,0
Cameron County,23,4,42,4204000023,PA,2020,3,3,"March, 2020",1,2000,1900,200,8.2,,,20200303,3202003,237,No,0
Carbon County,25,4,42,4204000025,PA,2020,3,3,"March, 2020",1,32300,30200,2100,6.5,,,20200303,3202003,238,No,0
Centre County,27,4,42,4204000027,PA,2020,3,3,"March, 2020",1,79300,76000,3300,4.2,,,20200303,3202003,239,No,0
Chester County,29,4,42,4204000029,PA,2020,3,3,"March, 2020",1,287800,276700,11000,3.8,,,20200303,3202003,240,No,0
Clarion County,31,4,42,4204000031,PA,2020,3,3,"March, 2020",1,17200,16100,1100,6.2,,,20200303,3202003,241,No,0
Clearfield County,33,4,42,4204000033,PA,2020,3,3,"March, 2020",1,35900,33500,2300,6.5,,,20200303,3202003,242,No,0
Clinton County,35,4,42,4204000035,PA,2020,3,3,"March, 2020",1,18000,16700,1200,6.9,,,20200303,3202003,243,No,0
Columbia County,37,4,42,4204000037,PA,2020,3,3,"March, 2020",1,33800,31900,1900,5.7,,,20200303,3202003,244,No,0
Crawford County,39,4,42,4204000039,PA,2020,3,3,"March, 2020",1,38700,36400,2300,6,,,20200303,3202003,245,No,0
Cumberland County,41,4,42,4204000041,PA,2020,3,3,"March, 2020",1,133100,127700,5400,4,,,20200303,3202003,246,No,0
Dauphin County,43,4,42,4204000043,PA,2020,3,3,"March, 2020",1,145300,138200,7100,4.9,,,20200303,3202003,247,No,0
Delaware County,45,4,42,4204000045,PA,2020,3,3,"March, 2020",1,300600,285900,14700,4.9,,,20200303,3202003,248,No,0
Elk County,47,4,42,4204000047,PA,2020,3,3,"March, 2020",1,15600,14400,1100,7.2,,,20200303,3202003,249,No,0
Erie County,49,4,42,4204000049,PA,2020,3,3,"March, 2020",1,130400,122900,7500,5.7,,,20200303,3202003,250,No,0
Fayette County,51,4,42,4204000051,PA,2020,3,3,"March, 2020",1,57400,52800,4600,8,,,20200303,3202003,251,No,0
Forest County,53,4,42,4204000053,PA,2020,3,3,"March, 2020",1,1800,1600,200,8.5,,,20200303,3202003,252,No,0
Franklin County,55,4,42,4204000055,PA,2020,3,3,"March, 2020",1,77800,74200,3600,4.6,,,20200303,3202003,253,No,0
Fulton County,57,4,42,4204000057,PA,2020,3,3,"March, 2020",1,7700,7200,500,6.2,,,20200303,3202003,254,No,0
Greene County,59,4,42,4204000059,PA,2020,3,3,"March, 2020",1,16600,15400,1200,7.2,,,20200303,3202003,255,No,0
Huntingdon County,61,4,42,4204000061,PA,2020,3,3,"March, 2020",1,20000,18500,1500,7.5,,,20200303,3202003,256,No,0
Indiana County,63,4,42,4204000063,PA,2020,3,3,"March, 2020",1,38700,36200,2500,6.4,,,20200303,3202003,257,No,0
Jefferson County,65,4,42,4204000065,PA,2020,3,3,"March, 2020",1,20300,19100,1200,6,,,20200303,3202003,258,No,0
Juniata County,67,4,42,4204000067,PA,2020,3,3,"March, 2020",1,12700,12100,600,5.1,,,20200303,3202003,259,No,0
Lackawanna County,69,4,42,4204000069,PA,2020,3,3,"March, 2020",1,105800,99600,6200,5.9,,,20200303,3202003,260,No,0
Lancaster County,71,4,42,4204000071,PA,2020,3,3,"March, 2020",1,286500,275400,11000,3.9,,,20200303,3202003,261,No,0
Lawrence County,73,4,42,4204000073,PA,2020,3,3,"March, 2020",1,40900,37900,3000,7.3,,,20200303,3202003,262,No,0
Lebanon County,75,4,42,4204000075,PA,2020,3,3,"March, 2020",1,72200,69000,3300,4.5,,,20200303,3202003,263,No,0
Lehigh County,77,4,42,4204000077,PA,2020,3,3,"March, 2020",1,193800,183200,10600,5.5,,,20200303,3202003,264,No,0
Luzerne County,79,4,42,4204000079,PA,2020,3,3,"March, 2020",1,159500,148500,11000,6.9,,,20200303,3202003,265,No,0
Lycoming County,81,4,42,4204000081,PA,2020,3,3,"March, 2020",1,57200,53600,3600,6.3,,,20200303,3202003,266,No,0
McKean County,83,4,42,4204000083,PA,2020,3,3,"March, 2020",1,17400,16100,1300,7.4,,,20200303,3202003,267,No,0
Mercer County,85,4,42,4204000085,PA,2020,3,3,"March, 2020",1,48600,45600,3000,6.2,,,20200303,3202003,268,No,0
Mifflin County,87,4,42,4204000087,PA,2020,3,3,"March, 2020",1,21100,19900,1200,5.8,,,20200303,3202003,269,No,0
Monroe County,89,4,42,4204000089,PA,2020,3,3,"March, 2020",1,84100,78600,5600,6.6,,,20200303,3202003,270,No,0
Montgomery County,91,4,42,4204000091,PA,2020,3,3,"March, 2020",1,458500,438900,19500,4.3,,,20200303,3202003,271,No,0
Montour County,93,4,42,4204000093,PA,2020,3,3,"March, 2020",1,9200,8800,400,4.4,,,20200303,3202003,272,No,0
Northampton County,95,4,42,4204000095,PA,2020,3,3,"March, 2020",1,161800,153200,8600,5.3,,,20200303,3202003,273,No,0
Northumberland County,97,4,42,4204000097,PA,2020,3,3,"March, 2020",1,43000,40100,3000,6.9,,,20200303,3202003,274,No,0
Perry County,99,4,42,4204000099,PA,2020,3,3,"March, 2020",1,24600,23500,1100,4.3,,,20200303,3202003,275,No,0
Philadelphia County,101,4,42,4204000101,PA,2020,3,3,"March, 2020",1,735600,685100,50500,6.9,,,20200303,3202003,276,No,0
Pike County,103,4,42,4204000103,PA,2020,3,3,"March, 2020",1,25500,23800,1700,6.8,,,20200303,3202003,277,No,0
Potter County,105,4,42,4204000105,PA,2020,3,3,"March, 2020",1,7200,6600,600,8.4,,,20200303,3202003,278,No,0
Schuylkill County,107,4,42,4204000107,PA,2020,3,3,"March, 2020",1,66700,62500,4100,6.2,,,20200303,3202003,279,No,0
Snyder County,109,4,42,4204000109,PA,2020,3,3,"March, 2020",1,19500,18300,1100,5.9,,,20200303,3202003,280,No,0
Somerset County,111,4,42,4204000111,PA,2020,3,3,"March, 2020",1,33300,31000,2300,6.8,,,20200303,3202003,281,No,0
Sullivan County,113,4,42,4204000113,PA,2020,3,3,"March, 2020",1,2600,2400,200,6.9,,,20200303,3202003,282,No,0
Susquehanna County,115,4,42,4204000115,PA,2020,3,3,"March, 2020",1,20300,19200,1100,5.3,,,20200303,3202003,283,No,0
Tioga County,117,4,42,4204000117,PA,2020,3,3,"March, 2020",1,19200,17900,1300,6.8,,,20200303,3202003,284,No,0
Union County,119,4,42,4204000119,PA,2020,3,3,"March, 2020",1,19800,18900,900,4.6,,,20200303,3202003,285,No,0
Venango County,121,4,42,4204000121,PA,2020,3,3,"March, 2020",1,22400,20900,1500,6.6,,,20200303,3202003,286,No,0
Warren County,123,4,42,4204000123,PA,2020,3,3,"March, 2020",1,18700,17500,1200,6.2,,,20200303,3202003,287,No,0
Washington County,125,4,42,4204000125,PA,2020,3,3,"March, 2020",1,107400,101000,6400,6,,,20200303,3202003,288,No,0
Wayne County,127,4,42,4204000127,PA,2020,3,3,"March, 2020",1,22500,21100,1400,6.1,,,20200303,3202003,289,No,0
Westmoreland County,129,4,42,4204000129,PA,2020,3,3,"March, 2020",1,180800,170500,10300,5.7,,,20200303,3202003,290,No,0
Wyoming County,131,4,42,4204000131,PA,2020,3,3,"March, 2020",1,13700,12800,800,5.9,,,20200303,3202003,291,No,0
York County,133,4,42,4204000133,PA,2020,3,3,"March, 2020",1,235600,225100,10400,4.4,,,20200303,3202003,292,No,0
Berks County WDA,1,15,42,4215000001,PA,2020,3,3,"March, 2020",1,215400,203900,11600,5.4,,,20200303,3202003,293,No,0
Bucks County WDA,2,15,42,4215000002,PA,2020,3,3,"March, 2020",1,345500,329500,16000,4.6,,,20200303,3202003,294,No,0
Central WDA,3,15,42,4215000003,PA,2020,3,3,"March, 2020",1,299500,282800,16700,5.6,,,20200303,3202003,295,No,0
Chester County WDA,4,15,42,4215000004,PA,2020,3,3,"March, 2020",1,287800,276700,11000,3.8,,,20200303,3202003,296,No,0
Delaware County WDA,5,15,42,4215000005,PA,2020,3,3,"March, 2020",1,300600,285900,14700,4.9,,,20200303,3202003,297,No,0
Lackawanna County WDA,6,15,42,4215000006,PA,2020,3,3,"March, 2020",1,105800,99600,6200,5.9,,,20200303,3202003,298,No,0
Lancaster County WDA,7,15,42,4215000007,PA,2020,3,3,"March, 2020",1,286500,275400,11000,3.9,,,20200303,3202003,299,No,0
Lehigh Valley WDA,8,15,42,4215000008,PA,2020,3,3,"March, 2020",1,355600,336300,19200,5.4,,,20200303,3202003,300,No,0
Luzerne-Schuylkill Counties WDA,9,15,42,4215000009,PA,2020,3,3,"March, 2020",1,226300,211000,15300,6.7,,,20200303,3202003,301,No,0
Montgomery County WDA,10,15,42,4215000010,PA,2020,3,3,"March, 2020",1,458500,438900,19500,4.3,,,20200303,3202003,302,No,0
North Central WDA,11,15,42,4215000011,PA,2020,3,3,"March, 2020",1,82800,77100,5600,6.8,,,20200303,3202003,303,No,0
Northern Tier WDA,12,15,42,4215000012,PA,2020,3,3,"March, 2020",1,84000,79100,4900,5.9,,,20200303,3202003,304,No,0
Northwest WDA,13,15,42,4215000013,PA,2020,3,3,"March, 2020",1,228200,214300,13900,6.1,,,20200303,3202003,305,No,0
Philadelphia County WDA,14,15,42,4215000014,PA,2020,3,3,"March, 2020",1,735600,685100,50500,6.9,,,20200303,3202003,306,No,0
Pocono Counties WDA,15,15,42,4215000015,PA,2020,3,3,"March, 2020",1,163700,153000,10700,6.5,,,20200303,3202003,307,No,0
South Central WDA,16,15,42,4215000016,PA,2020,3,3,"March, 2020",1,757300,723000,34200,4.5,,,20200303,3202003,308,No,0
Southern Alleghenies WDA,17,15,42,4215000017,PA,2020,3,3,"March, 2020",1,202000,189100,12900,6.4,,,20200303,3202003,309,No,0
Southwest Corner WDA,18,15,42,4215000018,PA,2020,3,3,"March, 2020",1,208200,195500,12700,6.1,,,20200303,3202003,310,No,0
Three Rivers WDA,19,15,42,4215000019,PA,2020,3,3,"March, 2020",1,647900,614600,33300,5.1,,,20200303,3202003,311,No,0
Tri-County WDA,20,15,42,4215000020,PA,2020,3,3,"March, 2020",1,170900,161200,9800,5.7,,,20200303,3202003,312,No,0
West Central WDA,21,15,42,4215000021,PA,2020,3,3,"March, 2020",1,89600,83500,6000,6.7,,,20200303,3202003,313,No,0
Westmoreland and Fayette Counties WDA,22,15,42,4215000022,PA,2020,3,3,"March, 2020",1,238300,223400,15000,6.3,,,20200303,3202003,314,No,0
"Allentown-Bethlehem-Easton, PA-NJ MSA",10900,31,42,4231010900,PA,2020,3,3,"March, 2020",1,444300,420700,23600,5.3,,,20200303,3202003,315,No,0
"Altoona, PA MSA",11020,31,42,4231011020,PA,2020,3,3,"March, 2020",1,60100,56900,3200,5.4,,,20200303,3202003,316,No,0
"Bloomsburg-Berwick, PA MSA",14100,31,42,4231014100,PA,2020,3,3,"March, 2020",1,43300,41000,2300,5.4,,,20200303,3202003,317,No,0
"Chambersburg-Waynesboro, PA MSA",16540,31,42,4231016540,PA,2020,3,3,"March, 2020",1,77800,74200,3600,4.6,,,20200303,3202003,318,No,0
"East Stroudsburg, PA MSA",20700,31,42,4231020700,PA,2020,3,3,"March, 2020",1,84100,78600,5600,6.6,,,20200303,3202003,319,No,0
"Erie, PA MSA",21500,31,42,4231021500,PA,2020,3,3,"March, 2020",1,130400,122900,7500,5.7,,,20200303,3202003,320,No,0
"Gettysburg, PA MSA",23900,31,42,4231023900,PA,2020,3,3,"March, 2020",1,55600,53700,2000,3.5,,,20200303,3202003,321,No,0
"Harrisburg-Carlisle, PA MSA",25420,31,42,4231025420,PA,2020,3,3,"March, 2020",1,302600,289200,13300,4.4,,,20200303,3202003,322,No,0
"Johnstown, PA MSA",27780,31,42,4231027780,PA,2020,3,3,"March, 2020",1,57700,53800,3900,6.8,,,20200303,3202003,323,No,0
"Lancaster, PA MSA",29540,31,42,4231029540,PA,2020,3,3,"March, 2020",1,286500,275400,11000,3.9,,,20200303,3202003,324,No,0
"Lebanon, PA MSA",30140,31,42,4231030140,PA,2020,3,3,"March, 2020",1,72200,69000,3300,4.5,,,20200303,3202003,325,No,0
"Montgomery-Bucks-Chester, PA Metro Division",33874,31,42,4231033874,PA,2020,3,3,"March, 2020",1,1091400,1044900,46500,4.3,,,20200303,3202003,326,No,0
"Philadelphia, PA Metro Division",37964,31,42,4231037964,PA,2020,3,3,"March, 2020",1,1034500,970000,64500,6.2,,,20200303,3202003,327,No,0
"Philadelphia, PA MSA - PA Part",37965,31,42,4231037965,PA,2020,3,3,"March, 2020",1,2126000,2016700,109300,5.1,,,20200303,3202003,328,No,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",37980,31,42,4231037980,PA,2020,3,3,"March, 2020",1,3161700,3005700,155900,4.9,,,20200303,3202003,329,No,0
"Pittsburgh, PA MSA",38300,31,42,4231038300,PA,2020,3,3,"March, 2020",1,1210400,1142900,67500,5.6,,,20200303,3202003,330,No,0
"Reading, PA MSA",39740,31,42,4231039740,PA,2020,3,3,"March, 2020",1,215400,203900,11600,5.4,,,20200303,3202003,331,No,0
"Scranton--Wilkes-Barre--Hazleton, PA MSA",42540,31,42,4231042540,PA,2020,3,3,"March, 2020",1,280700,262600,18100,6.5,,,20200303,3202003,332,No,0
"State College, PA MSA",44300,31,42,4231044300,PA,2020,3,3,"March, 2020",1,79300,76000,3300,4.2,,,20200303,3202003,333,No,0
"Williamsport, PA MSA",48700,31,42,4231048700,PA,2020,3,3,"March, 2020",1,57200,53600,3600,6.3,,,20200303,3202003,334,No,0
"York-Hanover, PA MSA",49620,31,42,4231049620,PA,2020,3,3,"March, 2020",1,235600,225100,10400,4.4,,,20200303,3202003,335,No,0
United States,0,0,0,0,US,2020,3,4,"April, 2020",1,156478000,133370000,23109000,14.8,60.2,51.3,20200304,3202004,336,No,0
Pennsylvania,0,1,42,4201000000,PA,2020,3,4,"April, 2020",1,6314000,5291000,1023000,16.2,61.4,51.5,20200304,3202004,337,No,0
Adams County,1,4,42,4204000001,PA,2020,3,4,"April, 2020",1,51100,43100,8000,15.6,,,20200304,3202004,338,No,0
Allegheny County,3,4,42,4204000003,PA,2020,3,4,"April, 2020",1,623900,522400,101500,16.3,,,20200304,3202004,339,No,0
Armstrong County,5,4,42,4204000005,PA,2020,3,4,"April, 2020",1,31200,25700,5600,17.8,,,20200304,3202004,340,No,0
Beaver County,7,4,42,4204000007,PA,2020,3,4,"April, 2020",1,82800,67300,15600,18.8,,,20200304,3202004,341,No,0
Bedford County,9,4,42,4204000009,PA,2020,3,4,"April, 2020",1,23400,19200,4200,18,,,20200304,3202004,342,No,0
Berks County,11,4,42,4204000011,PA,2020,3,4,"April, 2020",1,207500,169200,38200,18.4,,,20200304,3202004,343,No,0
Blair County,13,4,42,4204000013,PA,2020,3,4,"April, 2020",1,58500,47900,10600,18.2,,,20200304,3202004,344,No,0
Bradford County,15,4,42,4204000015,PA,2020,3,4,"April, 2020",1,27600,24100,3600,12.9,,,20200304,3202004,345,No,0
Bucks County,17,4,42,4204000017,PA,2020,3,4,"April, 2020",1,332800,281200,51500,15.5,,,20200304,3202004,346,No,0
Butler County,19,4,42,4204000019,PA,2020,3,4,"April, 2020",1,96000,80800,15200,15.9,,,20200304,3202004,347,No,0
Cambria County,21,4,42,4204000021,PA,2020,3,4,"April, 2020",1,55900,45600,10300,18.4,,,20200304,3202004,348,No,0
Cameron County,23,4,42,4204000023,PA,2020,3,4,"April, 2020",1,1900,1400,500,27.9,,,20200304,3202004,349,No,0
Carbon County,25,4,42,4204000025,PA,2020,3,4,"April, 2020",1,31600,25600,6100,19.3,,,20200304,3202004,350,No,0
Centre County,27,4,42,4204000027,PA,2020,3,4,"April, 2020",1,74300,66300,8100,10.8,,,20200304,3202004,351,No,0
Chester County,29,4,42,4204000029,PA,2020,3,4,"April, 2020",1,270000,237800,32200,11.9,,,20200304,3202004,352,No,0
Clarion County,31,4,42,4204000031,PA,2020,3,4,"April, 2020",1,16700,13800,2900,17.2,,,20200304,3202004,353,No,0
Clearfield County,33,4,42,4204000033,PA,2020,3,4,"April, 2020",1,35900,29700,6200,17.4,,,20200304,3202004,354,No,0
Clinton County,35,4,42,4204000035,PA,2020,3,4,"April, 2020",1,17300,14600,2800,16,,,20200304,3202004,355,No,0
Columbia County,37,4,42,4204000037,PA,2020,3,4,"April, 2020",1,33100,27700,5300,16.1,,,20200304,3202004,356,No,0
Crawford County,39,4,42,4204000039,PA,2020,3,4,"April, 2020",1,38400,32100,6200,16.3,,,20200304,3202004,357,No,0
Cumberland County,41,4,42,4204000041,PA,2020,3,4,"April, 2020",1,128500,112400,16100,12.5,,,20200304,3202004,358,No,0
Dauphin County,43,4,42,4204000043,PA,2020,3,4,"April, 2020",1,143300,121400,21900,15.3,,,20200304,3202004,359,No,0
Delaware County,45,4,42,4204000045,PA,2020,3,4,"April, 2020",1,288100,243400,44700,15.5,,,20200304,3202004,360,No,0
Elk County,47,4,42,4204000047,PA,2020,3,4,"April, 2020",1,15400,11200,4100,27,,,20200304,3202004,361,No,0
Erie County,49,4,42,4204000049,PA,2020,3,4,"April, 2020",1,124100,102300,21700,17.5,,,20200304,3202004,362,No,0
Fayette County,51,4,42,4204000051,PA,2020,3,4,"April, 2020",1,56700,45000,11700,20.7,,,20200304,3202004,363,No,0
Forest County,53,4,42,4204000053,PA,2020,3,4,"April, 2020",1,1900,1500,300,17.9,,,20200304,3202004,364,No,0
Franklin County,55,4,42,4204000055,PA,2020,3,4,"April, 2020",1,76000,65900,10200,13.4,,,20200304,3202004,365,No,0
Fulton County,57,4,42,4204000057,PA,2020,3,4,"April, 2020",1,7600,6200,1400,18.6,,,20200304,3202004,366,No,0
Greene County,59,4,42,4204000059,PA,2020,3,4,"April, 2020",1,15900,13600,2300,14.6,,,20200304,3202004,367,No,0
Huntingdon County,61,4,42,4204000061,PA,2020,3,4,"April, 2020",1,19500,16000,3500,17.8,,,20200304,3202004,368,No,0
Indiana County,63,4,42,4204000063,PA,2020,3,4,"April, 2020",1,37100,31100,6000,16.2,,,20200304,3202004,369,No,0
Jefferson County,65,4,42,4204000065,PA,2020,3,4,"April, 2020",1,20200,16800,3400,16.8,,,20200304,3202004,370,No,0
Juniata County,67,4,42,4204000067,PA,2020,3,4,"April, 2020",1,12200,10000,2300,18.4,,,20200304,3202004,371,No,0
Lackawanna County,69,4,42,4204000069,PA,2020,3,4,"April, 2020",1,102600,84500,18100,17.6,,,20200304,3202004,372,No,0
Lancaster County,71,4,42,4204000071,PA,2020,3,4,"April, 2020",1,274600,233000,41600,15.2,,,20200304,3202004,373,No,0
Lawrence County,73,4,42,4204000073,PA,2020,3,4,"April, 2020",1,40000,32500,7500,18.7,,,20200304,3202004,374,No,0
Lebanon County,75,4,42,4204000075,PA,2020,3,4,"April, 2020",1,70100,59800,10300,14.7,,,20200304,3202004,375,No,0
Lehigh County,77,4,42,4204000077,PA,2020,3,4,"April, 2020",1,187300,154600,32600,17.4,,,20200304,3202004,376,No,0
Luzerne County,79,4,42,4204000079,PA,2020,3,4,"April, 2020",1,155500,126100,29400,18.9,,,20200304,3202004,377,No,0
Lycoming County,81,4,42,4204000081,PA,2020,3,4,"April, 2020",1,55900,46700,9100,16.4,,,20200304,3202004,378,No,0
McKean County,83,4,42,4204000083,PA,2020,3,4,"April, 2020",1,17000,13900,3200,18.6,,,20200304,3202004,379,No,0
Mercer County,85,4,42,4204000085,PA,2020,3,4,"April, 2020",1,47600,39000,8600,18.1,,,20200304,3202004,380,No,0
Mifflin County,87,4,42,4204000087,PA,2020,3,4,"April, 2020",1,21300,17800,3400,16.1,,,20200304,3202004,381,No,0
Monroe County,89,4,42,4204000089,PA,2020,3,4,"April, 2020",1,80000,62700,17300,21.6,,,20200304,3202004,382,No,0
Montgomery County,91,4,42,4204000091,PA,2020,3,4,"April, 2020",1,435900,374600,61300,14.1,,,20200304,3202004,383,No,0
Montour County,93,4,42,4204000093,PA,2020,3,4,"April, 2020",1,8700,7700,1000,11.9,,,20200304,3202004,384,No,0
Northampton County,95,4,42,4204000095,PA,2020,3,4,"April, 2020",1,155300,129300,26000,16.7,,,20200304,3202004,385,No,0
Northumberland County,97,4,42,4204000097,PA,2020,3,4,"April, 2020",1,41800,34500,7300,17.5,,,20200304,3202004,386,No,0
Perry County,99,4,42,4204000099,PA,2020,3,4,"April, 2020",1,24100,20800,3300,13.6,,,20200304,3202004,387,No,0
Philadelphia County,101,4,42,4204000101,PA,2020,3,4,"April, 2020",1,726200,594200,132000,18.2,,,20200304,3202004,388,No,0
Pike County,103,4,42,4204000103,PA,2020,3,4,"April, 2020",1,25800,21000,4900,18.8,,,20200304,3202004,389,No,0
Potter County,105,4,42,4204000105,PA,2020,3,4,"April, 2020",1,7200,6100,1000,14.7,,,20200304,3202004,390,No,0
Schuylkill County,107,4,42,4204000107,PA,2020,3,4,"April, 2020",1,67000,55900,11200,16.6,,,20200304,3202004,391,No,0
Snyder County,109,4,42,4204000109,PA,2020,3,4,"April, 2020",1,18500,15000,3500,18.9,,,20200304,3202004,392,No,0
Somerset County,111,4,42,4204000111,PA,2020,3,4,"April, 2020",1,32700,26800,5900,18,,,20200304,3202004,393,No,0
Sullivan County,113,4,42,4204000113,PA,2020,3,4,"April, 2020",1,2500,2100,400,15.3,,,20200304,3202004,394,No,0
Susquehanna County,115,4,42,4204000115,PA,2020,3,4,"April, 2020",1,19100,16600,2500,13.2,,,20200304,3202004,395,No,0
Tioga County,117,4,42,4204000117,PA,2020,3,4,"April, 2020",1,18600,15900,2700,14.6,,,20200304,3202004,396,No,0
Union County,119,4,42,4204000119,PA,2020,3,4,"April, 2020",1,18800,16200,2600,13.9,,,20200304,3202004,397,No,0
Venango County,121,4,42,4204000121,PA,2020,3,4,"April, 2020",1,21700,18400,3400,15.6,,,20200304,3202004,398,No,0
Warren County,123,4,42,4204000123,PA,2020,3,4,"April, 2020",1,18300,15900,2400,13.2,,,20200304,3202004,399,No,0
Washington County,125,4,42,4204000125,PA,2020,3,4,"April, 2020",1,104200,86000,18200,17.5,,,20200304,3202004,400,No,0
Wayne County,127,4,42,4204000127,PA,2020,3,4,"April, 2020",1,22200,18200,4000,18,,,20200304,3202004,401,No,0
Westmoreland County,129,4,42,4204000129,PA,2020,3,4,"April, 2020",1,176600,145200,31400,17.8,,,20200304,3202004,402,No,0
Wyoming County,131,4,42,4204000131,PA,2020,3,4,"April, 2020",1,13000,11000,2000,15.7,,,20200304,3202004,403,No,0
York County,133,4,42,4204000133,PA,2020,3,4,"April, 2020",1,227400,190900,36400,16,,,20200304,3202004,404,No,0
Berks County WDA,1,15,42,4215000001,PA,2020,3,4,"April, 2020",1,207500,169200,38200,18.4,,,20200304,3202004,405,No,0
Bucks County WDA,2,15,42,4215000002,PA,2020,3,4,"April, 2020",1,332800,281200,51500,15.5,,,20200304,3202004,406,No,0
Central WDA,3,15,42,4215000003,PA,2020,3,4,"April, 2020",1,289300,246400,43000,14.8,,,20200304,3202004,407,No,0
