COUNTY,BEVERAGE WINE,BOX WINE,BRANDY/COGNAC,GIN,LIQUEUR/CORDIALS,READY-TO-DRINK,RED TABLE WINE,ROSÉ/BLUSH,RUM,SPARKLING,TEQUILA,VODKA,WHISKEY,WHITE TABLE WINE
Mercer,214364.00,610799.00,682182.00,278243.00,945855.00,151052.00,1302455.00,227332.00,1179147.00,345724.00,593126.00,2675669.00,4105254.00,927586.00
Mifflin,35248.00,170796.00,82574.00,64103.00,376942.00,41351.00,176427.00,56493.00,430386.00,50844.00,72231.00,501844.00,904294.00,177567.00
Monroe,406603.00,1770766.00,2249794.00,598376.00,1905137.00,430570.00,4210800.00,714621.00,2171140.00,1095047.00,1495379.00,6314970.00,6655192.00,2957150.00
Montgomery,1399949.00,8212253.00,7528635.00,4442650.00,7351445.00,1895042.00,34895108.00,4284823.00,7663747.00,8432995.00,8736872.00,30006510.00,33337927.00,26131579.00
Montour,36698.00,187350.00,57684.00,95163.00,208137.00,35882.00,393405.00,59500.00,305824.00,104435.00,84355.00,529772.00,836804.00,336324.00
Northampton,480909.00,2426138.00,1638466.00,899076.00,2342638.00,437791.00,5688313.00,819139.00,2546540.00,1246656.00,1366875.00,7686471.00,8703871.00,3919328.00
Northumberland,145924.00,317656.00,226444.00,108657.00,508673.00,75018.00,367085.00,110572.00,823026.00,99058.00,129034.00,1082228.00,1551680.00,336332.00
Perry,25366.00,125838.00,50896.00,42217.00,184808.00,28254.00,125552.00,28155.00,254853.00,33948.00,38512.00,375624.00,649283.00,107992.00
Philadelphia,3513876.00,7228366.00,29893020.00,4911793.00,7559844.00,3281049.00,26631321.00,5044043.00,10216018.00,9858996.00,12211499.00,31785782.00,34115905.00,16921493.00
Pike,75960.00,470223.00,159026.00,134186.00,389379.00,80882.00,1338573.00,216195.00,326537.00,255555.00,275270.00,1172032.00,1471537.00,995414.00
Potter,23029.00,85316.00,26307.00,30509.00,110758.00,18153.00,119793.00,17376.00,135824.00,16326.00,22355.00,219212.00,398265.00,76734.00
Schuylkill,257075.00,777957.00,389874.00,273085.00,945382.00,177538.00,1119051.00,260179.00,1149620.00,308186.00,320903.00,2101639.00,2974336.00,1001778.00
Snyder,56905.00,169079.00,85109.00,103574.00,302536.00,56600.00,398015.00,69227.00,428989.00,99061.00,123182.00,635786.00,963447.00,334205.00
Somerset,103843.00,262124.00,91569.00,78134.00,382256.00,65997.00,436533.00,93714.00,504636.00,103950.00,105703.00,782383.00,1445196.00,321482.00
Sullivan,12531.00,34529.00,17873.00,11179.00,34796.00,8084.00,58283.00,9385.00,47321.00,7665.00,9989.00,93149.00,172718.00,42240.00
Susquehanna,48914.00,189833.00,56282.00,45334.00,186117.00,23931.00,261254.00,50723.00,163515.00,42599.00,71816.00,451098.00,670541.00,232571.00
Tioga,78285.00,236849.00,69151.00,81832.00,294811.00,54473.00,349590.00,72311.00,387929.00,55924.00,73260.00,555373.00,1133404.00,268494.00
Union,59746.00,296710.00,116108.00,154500.00,349467.00,60821.00,764720.00,121245.00,465951.00,197318.00,179603.00,935150.00,1323364.00,708131.00
Venango,80505.00,274710.00,100019.00,81978.00,370160.00,77114.00,367818.00,89670.00,466359.00,78213.00,105001.00,735015.00,1339344.00,320125.00
Warren,61795.00,236731.00,64539.00,85610.00,286339.00,40122.00,296438.00,53989.00,409399.00,58175.00,61735.00,627649.00,1160347.00,240974.00
Washington,319124.00,1329319.00,583113.00,454870.00,1424468.00,284320.00,3450329.00,452289.00,1963287.00,753875.00,1000802.00,4997412.00,7401838.00,2383716.00
Wayne,128980.00,810739.00,218328.00,286352.00,756872.00,116047.00,1996719.00,266779.00,677996.00,377491.00,437772.00,2196370.00,2513577.00,1462330.00
Westmoreland,1034414.00,3220715.00,1235175.00,1094395.00,3428969.00,681105.00,8291469.00,1208599.00,4506292.00,1782460.00,2040426.00,10752161.00,15671010.00,5466834.00
Wyoming,46411.00,227213.00,70438.00,77698.00,228572.00,38173.00,330109.00,46426.00,229725.00,68054.00,82969.00,526624.00,806829.00,246760.00
York,638639.00,2973649.00,2438767.00,1132443.00,3840119.00,596528.00,5905414.00,1025121.00,5222031.00,1537179.00,1901851.00,9975813.00,14252777.00,4524673.00
