Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Carbon,12/25/2020,46,53.3,2573,64182,71.7,83,4008.9,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Sullivan,10/16/2020,0,0,18,6066,0,0,296.7,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Lawrence,03/25/2021,33,22.4,6518,85512,38.6,26.2,7622.3,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Lycoming,12/27/2020,83,101,5759,113299,73.3,89.1,5083,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Chester,09/30/2020,47,36.9,6998,524989,9,7,1333,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Clarion,01/09/2021,28,21,2254,38438,72.8,54.6,5864,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
McKean,05/09/2021,3,14.4,3623,40625,7.4,35.5,8918.2,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Erie,06/16/2021,4,3.6,21182,269728,1.5,1.3,7853.1,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Lycoming,02/28/2021,18,32.9,9386,113299,15.9,29,8284.3,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Somerset,07/19/2021,2,0.6,8093,73447,2.7,0.8,11018.8,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Clarion,08/31/2020,0,0.3,102,38438,0,0.7,265.4,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Allegheny,01/03/2021,421,680.9,56136,1216045,34.6,56,4616.3,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Clarion,06/30/2020,1,0.4,41,38438,2.6,1.1,106.7,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Allegheny,06/18/2021,15,13.3,101758,1216045,1.2,1.1,8367.9,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Delaware,07/11/2021,6,9,52476,566747,1.1,1.6,9259.2,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Wayne,10/07/2020,0,2,265,51361,0,3.9,516,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Dauphin,04/13/2020,9,13.1,255,278299,3.2,4.7,91.6,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Clarion,02/13/2021,5,5.9,2621,38438,13,15.2,6818.8,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Pike,04/01/2021,16,22.6,3203,55809,28.7,40.4,5739.2,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Crawford,07/14/2020,23,3.9,106,84629,27.2,4.6,125.3,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
McKean,04/10/2021,11,7.7,3266,40625,27.1,19,8039.4,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Chester,09/12/2020,39,42.7,6231,524989,7.4,8.1,1186.9,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Pennsylvania,05/27/2020,625,663.3,70320,12801989,4.9,5.2,549.3,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Lycoming,03/24/2021,28,27.1,9987,113299,24.7,24,8814.7,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Clearfield,07/10/2020,2,1.6,96,79255,2.5,2,121.1,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Montgomery,01/08/2021,484,478,40286,830915,58.2,57.5,4848.4,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Chester,02/06/2021,189,138.4,28239,524989,36,26.4,5379,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Lycoming,02/16/2021,38,44.6,9023,113299,33.5,39.3,7963.9,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Snyder,07/24/2020,1,1.1,93,40372,2.5,2.8,230.4,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Philadelphia,08/27/2020,126,98.4,29218,1584064,8,6.2,1844.5,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Sullivan,06/13/2020,0,0,4,6066,0,0,65.9,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Chester,07/11/2020,23,28.1,4043,524989,4.4,5.4,770.1,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Pennsylvania,05/23/2020,713,776.3,68012,12801989,5.6,6.1,531.3,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Somerset,06/14/2020,0,0.3,43,73447,0,0.4,58.5,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Allegheny,04/23/2021,334,316.4,95755,1216045,27.5,26,7874.3,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Armstrong,03/18/2021,10,9.7,5045,64735,15.4,15,7793.3,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Lycoming,12/23/2020,86,129.7,5413,113299,75.9,114.5,4777.6,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Allegheny,11/30/2020,696,641.7,29096,1216045,57.2,52.8,2392.7,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Chester,06/10/2020,28,42,3192,524989,5.3,8,608,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Sullivan,12/07/2020,4,3,93,6066,65.9,49.5,1533.1,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Cambria,05/09/2021,28,36,14171,130192,21.5,27.7,10884.7,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Delaware,02/18/2021,113,117.6,39589,566747,19.9,20.7,6985.3,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Clarion,09/14/2020,0,1.7,118,38438,0,4.5,307,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Greene,11/16/2020,6,16.6,485,36233,16.6,45.7,1338.6,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Erie,06/25/2021,3,3.9,21219,269728,1.1,1.4,7866.8,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Mifflin,08/18/2020,2,1.6,137,46138,4.3,3.4,296.9,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Washington,02/19/2021,30,34.3,13521,206865,14.5,16.6,6536.1,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Allegheny,01/14/2021,485,577.3,63285,1216045,39.9,47.5,5204.2,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Carbon,02/21/2021,4,14.1,4830,64182,6.2,22,7525.5,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Franklin,05/31/2021,4,7.4,15309,155027,2.6,4.8,9875.1,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Chester,02/28/2021,62,97.3,30503,524989,11.8,18.5,5810.2,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Montgomery,12/19/2020,253,415.1,31326,830915,30.4,50,3770.1,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Somerset,08/19/2020,1,1,152,73447,1.4,1.4,207,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Allegheny,11/28/2020,506,616.6,27997,1216045,41.6,50.7,2302.3,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Washington,01/10/2021,76,150.3,10565,206865,36.7,72.6,5107.2,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Franklin,02/28/2021,18,29.7,12512,155027,11.6,19.2,8070.9,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Washington,11/26/2020,121,112.1,4414,206865,58.5,54.2,2133.8,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Erie,04/22/2021,62,51.6,19789,269728,23,19.1,7336.7,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Lawrence,05/30/2020,1,0.7,82,85512,1.2,0.8,95.9,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Franklin,04/04/2021,20,43.1,13702,155027,12.9,27.8,8838.5,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Clearfield,09/06/2020,2,4.1,272,79255,2.5,5.2,343.2,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Washington,12/04/2020,236,121.4,5401,206865,114.1,58.7,2610.9,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Lackawanna,07/26/2021,14,6.6,18687,209674,6.7,3.1,8912.4,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Adams,07/05/2020,0,2.1,355,103009,0,2.1,344.6,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Luzerne,08/22/2020,11,11.3,3723,317417,3.5,3.6,1172.9,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Allegheny,05/29/2021,37,57.7,101240,1216045,3,4.7,8325.3,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Cumberland,10/15/2020,23,21.1,2207,253370,9.1,8.3,871.1,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Montgomery,12/03/2020,648,417.9,23871,830915,78,50.3,2872.9,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Mifflin,09/01/2020,2,2.4,167,46138,4.3,5.3,362,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Franklin,05/12/2021,13,23.7,15049,155027,8.4,15.3,9707.3,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Cumberland,07/20/2020,20,12.3,1053,253370,7.9,4.8,415.6,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Huntingdon,05/01/2021,6,11.4,4927,45144,13.3,25.3,10914,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Snyder,04/10/2021,6,7,3370,40372,14.9,17.3,8347.4,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
McKean,04/30/2021,12,10.9,3511,40625,29.5,26.7,8642.5,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Allegheny,07/17/2021,35,30.1,102259,1216045,2.9,2.5,8409.1,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Chester,10/10/2020,34,37.9,7372,524989,6.5,7.2,1404.2,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Luzerne,07/03/2020,12,7.9,2970,317417,3.8,2.5,935.7,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Schuylkill,05/06/2020,4,7.9,425,141359,2.8,5.6,300.7,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Bucks,12/04/2020,489,425.7,20037,628270,77.8,67.8,3189.2,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Allegheny,07/10/2021,15,15.3,102048,1216045,1.2,1.3,8391.8,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Carbon,12/06/2020,54,53.7,1736,64182,84.1,83.7,2704.8,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Snyder,04/21/2021,4,8.1,3473,40372,9.9,20.2,8602.5,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Chester,06/29/2020,34,25.6,3723,524989,6.5,4.9,709.2,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Clarion,10/26/2020,3,4.9,230,38438,7.8,12.6,598.4,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Lycoming,01/16/2021,73,76,7469,113299,64.4,67.1,6592.3,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Franklin,02/04/2021,45,40.9,11679,155027,29,26.4,7533.5,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Bucks,07/23/2021,34,30.1,61251,628270,5.4,4.8,9749.2,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Allegheny,02/06/2021,260,285,71214,1216045,21.4,23.4,5856.2,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Sullivan,12/28/2020,0,1.6,143,6066,0,25.9,2357.4,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Huntingdon,04/13/2021,16,11.9,4729,45144,35.4,26.3,10475.4,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Philadelphia,09/12/2020,90,86.1,31075,1584064,5.7,5.4,1961.7,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Sullivan,05/07/2020,0,0,2,6066,0,0,33,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Adams,04/10/2020,1,3.4,48,103009,1,3.3,46.6,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Sullivan,11/29/2020,2,2.6,66,6066,33,42.4,1088,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Washington,09/16/2020,15,12.6,1265,206865,7.3,6.1,611.5,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Adams,04/24/2020,4,5.6,117,103009,3.9,5.4,113.6,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Sullivan,08/11/2020,0,0,13,6066,0,0,214.3,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Chester,07/28/2020,26,48.4,4776,524989,5,9.2,909.7,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Philadelphia,08/11/2020,166,131.6,27430,1584064,10.5,8.3,1731.6,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Washington,11/13/2020,58,67.4,2958,206865,28,32.6,1429.9,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Lycoming,02/26/2021,42,32.1,9347,113299,37.1,28.4,8249.9,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Philadelphia,09/15/2020,82,87.4,31329,1584064,5.2,5.5,1977.8,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Sullivan,09/17/2020,0,0.1,14,6066,0,2.4,230.8,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Chester,03/07/2021,68,85.7,31103,524989,13,16.3,5924.5,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Union,05/28/2020,1,0.7,57,44923,2.2,1.6,126.9,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Franklin,05/20/2021,47,19.1,15203,155027,30.3,12.3,9806.7,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Washington,09/10/2020,11,8.4,1188,206865,5.3,4.1,574.3,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Chester,11/06/2020,116,77.1,8816,524989,22.1,14.7,1679.3,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Washington,11/06/2020,53,46.1,2486,206865,25.6,22.3,1201.7,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
McKean,02/01/2021,31,22.7,2800,40625,76.3,55.9,6892.3,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Philadelphia,12/29/2020,716,566.7,88655,1584064,45.2,35.8,5596.7,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Washington,12/09/2020,143,135,5977,206865,69.1,65.3,2889.3,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Allegheny,02/20/2021,258,234.6,74727,1216045,21.2,19.3,6145.1,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Pennsylvania,06/01/2020,593,603.3,73153,12801989,4.6,4.7,571.4,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Erie,05/27/2021,28,21.6,20968,269728,10.4,8,7773.8,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Allegheny,03/08/2021,334,235.9,78576,1216045,27.5,19.4,6461.6,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Armstrong,06/10/2021,3,2.4,6005,64735,4.6,3.8,9276.3,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Clarion,01/29/2021,26,10.6,2491,38438,67.6,27.5,6480.6,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Crawford,09/23/2020,0,1.6,311,84629,0,1.9,367.5,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Delaware,02/15/2021,87,118.3,39187,566747,15.4,20.9,6914.4,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Chester,12/21/2020,287,262.3,18265,524989,54.7,50,3479.1,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Carbon,07/07/2021,1,0.3,6405,64182,1.6,0.4,9979.4,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Delaware,03/21/2021,62,106.4,42917,566747,10.9,18.8,7572.5,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Lycoming,01/27/2021,48,51.4,8042,113299,42.4,45.4,7098,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Luzerne,08/12/2020,28,22.4,3587,317417,8.8,7.1,1130.1,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Carbon,06/24/2021,0,0.9,6398,64182,0,1.3,9968.5,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Clearfield,07/21/2020,1,1.3,116,79255,1.3,1.6,146.4,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Armstrong,03/15/2021,17,8.7,5007,64735,26.3,13.5,7734.6,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Clarion,04/27/2020,1,0.9,26,38438,2.6,2.2,67.6,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Sullivan,07/25/2020,0,0,13,6066,0,0,214.3,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Carbon,01/24/2021,16,35.9,4182,64182,24.9,55.9,6515.8,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Washington,01/14/2021,111,147.3,11197,206865,53.7,71.2,5412.7,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Wayne,07/27/2021,2,2.1,4193,51361,3.9,4.2,8163.8,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Forest,06/01/2021,1,0.3,1432,7247,13.8,3.9,19759.9,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Erie,05/21/2021,23,23.9,20840,269728,8.5,8.8,7726.3,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Snyder,04/29/2021,11,5.3,3516,40372,27.2,13.1,8709,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Franklin,03/26/2021,38,34.6,13358,155027,24.5,22.3,8616.6,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Clarion,10/28/2020,4,4.3,235,38438,10.4,11.1,611.4,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Clearfield,07/20/2020,4,1.3,115,79255,5,1.6,145.1,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Mercer,04/22/2021,21,22.9,9025,109424,19.2,20.9,8247.7,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Elk,06/09/2021,0,0.1,2866,29910,0,0.5,9582.1,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Warren,03/09/2021,2,3.7,2219,39191,5.1,9.5,5662,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Delaware,04/18/2021,129,241.3,48432,566747,22.8,42.6,8545.6,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Delaware,03/03/2021,107,113.7,41010,566747,18.9,20.1,7236,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
McKean,05/04/2021,17,14.9,3566,40625,41.8,36.6,8777.8,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Franklin,01/21/2021,73,79.3,10999,155027,47.1,51.1,7094.9,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Chester,12/08/2020,236,287.1,14722,524989,45,54.7,2804.2,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Adams,06/02/2020,5,3.4,266,103009,4.9,3.3,258.2,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Montgomery,12/10/2020,635,505.6,27410,830915,76.4,60.8,3298.8,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Franklin,07/21/2021,3,2.9,15532,155027,1.9,1.8,10018.9,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
McKean,01/31/2021,10,24.1,2769,40625,24.6,59.4,6816,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Erie,06/22/2021,4,4.3,21208,269728,1.5,1.6,7862.7,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Philadelphia,09/25/2020,109,87.4,32255,1584064,6.9,5.5,2036.2,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Carbon,10/31/2020,5,6.1,628,64182,7.8,9.6,978.5,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Chester,07/27/2020,61,50,4750,524989,11.6,9.5,904.8,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Washington,02/02/2021,57,66.6,12773,206865,27.6,32.2,6174.6,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Delaware,03/27/2021,171,150.6,43909,566747,30.2,26.6,7747.5,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Montgomery,02/07/2021,190,220.3,50117,830915,22.9,26.5,6031.5,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Pike,03/03/2021,30,17.1,2605,55809,53.8,30.7,4667.7,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
McKean,04/11/2021,0,7.6,3266,40625,0,18.6,8039.4,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
McKean,04/21/2021,17,11,3404,40625,41.8,27.1,8379.1,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Allegheny,04/08/2021,572,426.4,89431,1216045,47,35.1,7354.3,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Luzerne,06/21/2020,8,5.3,2884,317417,2.5,1.7,908.6,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Huntingdon,04/15/2021,11,10.9,4753,45144,24.4,24.1,10528.5,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Philadelphia,01/16/2021,361,576.7,99364,1584064,22.8,36.4,6272.7,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Centre,07/19/2021,7,4.1,16971,162385,4.3,2.6,10451.1,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Indiana,09/20/2020,5,14.7,653,84073,5.9,17.5,776.7,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Carbon,07/10/2021,0,0.3,6406,64182,0,0.4,9981,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Sullivan,08/07/2020,0,0,13,6066,0,0,214.3,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Carbon,01/16/2021,44,57.3,3891,64182,68.6,89.3,6062.4,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Lycoming,02/25/2021,39,32.1,9305,113299,34.4,28.4,8212.8,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Crawford,09/06/2020,1,3.1,255,84629,1.2,3.7,301.3,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Philadelphia,09/09/2020,65,94.9,30782,1584064,4.1,6,1943.2,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Allegheny,01/20/2021,459,443,65901,1216045,37.7,36.4,5419.3,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Lawrence,06/01/2020,1,0.9,83,85512,1.2,1,97.1,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Carbon,04/27/2020,5,3.1,169,64182,7.8,4.9,263.3,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Chester,12/10/2020,246,264.6,15286,524989,46.9,50.4,2911.7,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
McKean,05/20/2021,3,7.1,3728,40625,7.4,17.6,9176.6,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Armstrong,02/26/2021,10,7,4898,64735,15.4,10.8,7566.2,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Carbon,11/27/2020,42,39,1326,64182,65.4,60.8,2066,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Clinton,06/19/2021,1,0.6,3710,38632,2.6,1.5,9603.4,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Sullivan,05/27/2021,3,0.9,434,6066,49.5,14.1,7154.6,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Erie,05/01/2021,61,44.7,20182,269728,22.6,16.6,7482.4,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Allegheny,12/28/2020,1021,639.6,52391,1216045,84,52.6,4308.3,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Clarion,08/03/2020,1,0.7,84,38438,2.6,1.9,218.5,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Allegheny,04/02/2021,580,416.1,87026,1216045,47.7,34.2,7156.5,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Sullivan,02/13/2021,2,2,305,6066,33,33,5028,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Carbon,10/24/2020,7,5,585,64182,10.9,7.8,911.5,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Philadelphia,08/21/2020,149,116.7,28678,1584064,9.4,7.4,1810.4,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Montgomery,01/10/2021,296,518.7,41083,830915,35.6,62.4,4944.3,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Pike,03/16/2021,36,18.9,2813,55809,64.5,33.8,5040.4,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Carbon,03/15/2021,16,11.9,5073,64182,24.9,18.5,7904.1,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Erie,05/23/2021,18,22.6,20876,269728,6.7,8.4,7739.6,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Wyoming,04/06/2020,0,0.7,5,26794,0,2.7,18.7,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Washington,01/07/2021,220,136,10166,206865,106.3,65.7,4914.3,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Snyder,04/08/2021,11,6.3,3354,40372,27.2,15.6,8307.7,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Cumberland,09/11/2020,11,10.1,1672,253370,4.3,4,659.9,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Allegheny,01/18/2021,424,473,64978,1216045,34.9,38.9,5343.4,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Greene,10/04/2020,0,1.1,208,36233,0,3.2,574.1,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Chester,06/02/2020,37,49.3,2856,524989,7,9.4,544,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
