Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Beaver,08/23/2020,3,13.3,1513,163929,1.8,8.1,923,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Clarion,02/20/2021,2,6.6,2667,38438,5.2,17.1,6938.4,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Dauphin,03/10/2021,48,57.9,21216,278299,17.2,20.8,7623.5,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Somerset,05/13/2020,0,0,33,73447,0,0,44.9,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Cambria,05/03/2021,32,42.7,13951,130192,24.6,32.8,10715.7,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Berks,06/20/2021,10,13.7,48384,421164,2.4,3.3,11488.2,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
York,07/11/2021,2,7.7,47121,449058,0.4,1.7,10493.3,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Cameron,11/07/2020,0,0.6,14,4447,0,12.8,314.8,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Forest,12/02/2020,7,7.1,113,7247,96.6,98.6,1559.3,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Somerset,04/20/2020,0,0.9,20,73447,0,1.2,27.2,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Allegheny,09/21/2020,38,65.7,11820,1216045,3.1,5.4,972,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Bradford,03/03/2021,6,10.6,4455,60323,9.9,17.5,7385.2,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Bucks,05/05/2020,71,113,3569,628270,11.3,18,568.1,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Lehigh,09/12/2020,16,13.6,5420,369318,4.3,3.7,1467.6,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Chester,06/25/2021,9,7.4,40795,524989,1.7,1.4,7770.6,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Bradford,03/11/2020,0,0,0,60323,0,0,0,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Somerset,08/06/2020,1,1.1,133,73447,1.4,1.6,181.1,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Allegheny,08/10/2020,73,80.9,9054,1216045,6,6.6,744.5,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Cumberland,05/24/2021,23,20.9,20395,253370,9.1,8.2,8049.5,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Venango,03/06/2020,0,,0,50668,0,,0,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Montgomery,03/03/2020,0,,0,830915,0,,0,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Wayne,11/22/2020,10,10,432,51361,19.5,19.5,841.1,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Northampton,12/23/2020,302,251.6,15345,305285,98.9,82.4,5026.5,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Forest,11/02/2020,0,0,20,7247,0,0,276,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
